participant_id,age,gender,education_level,employment_status,annual_income_usd,region,urban_rural
P0426,64,Male,Master's,Part-time,48985.47,Northeast,Suburban
P0427,21,Male,Master's,Retired,69970.85,Southwest,Rural
P0428,67,Female,Some college,Part-time,59634.17,Northeast,Urban
P0429,36,Female,Some college,Part-time,33307.12,Southwest,Rural
P0430,67,Male,Master's,Student,68617.1,Southeast,Urban
P0431,44,Male,Bachelor's,Part-time,60937.43,Midwest,Urban
P0432,60,Male,Master's,Full-time,59135.81,Southeast,Suburban
P0433,33,Male,PhD,Retired,73156.47,Northeast,Rural
P0434,72,Female,Bachelor's,Full-time,75902.89,Northeast,Suburban
P0435,50,Male,Master's,Full-time,40594.18,Southeast,Urban
P0436,34,Female,PhD,Full-time,52282.93,Midwest,Urban
P0437,35,Male,PhD,Full-time,63334.21,Northeast,Urban
P0438,47,Male,High school,Full-time,51516.3,Southeast,Suburban
P0439,47,Male,High school,Full-time,45900.55,West,Urban
P0440,71,Female,High school,Student,24109.33,Midwest,Urban
P0441,21,Female,Some college,Retired,83970.5,Southwest,Suburban
P0442,53,Male,Bachelor's,Student,66346.11,Southeast,Urban
P0443,21,Female,PhD,Full-time,71480.06,Northeast,Suburban
P0444,34,Female,High school,Retired,43004.57,Southeast,Rural
P0445,46,Female,High school,Unemployed,66067.6,Southwest,Urban
P0446,54,Male,Bachelor's,Full-time,51512.78,Southwest,Suburban
P0447,29,Male,Master's,Full-time,50230.78,West,Suburban
P0448,33,Female,Bachelor's,Unemployed,66152.88,Southwest,Urban
P0449,35,Male,Bachelor's,Part-time,66866.91,West,Suburban
P0450,42,Female,Some college,Part-time,46072.35,Southwest,Urban
P0451,54,Female,Bachelor's,Full-time,55512.42,Midwest,Urban
P0452,48,Female,Master's,Retired,76043.03,Southeast,Urban
P0453,60,Male,Bachelor's,Student,58963.51,Southeast,Suburban
P0454,69,Male,PhD,Retired,24734.71,Southeast,Urban
P0455,55,Male,Master's,Full-time,33219.4,Midwest,Rural
P0456,54,Male,PhD,Unemployed,43336.43,Southwest,Suburban
P0457,29,Female,High school,Full-time,67238.03,Northeast,Urban
P0458,57,Male,High school,Student,88384.42,Midwest,Urban
P0459,27,Female,PhD,Student,86886.2,Northeast,Urban
P0460,60,Male,High school,Full-time,26104.12,Southeast,Rural
P0461,64,Non-binary,Master's,Retired,53942.58,West,Suburban
P0462,57,Female,Some college,Part-time,51029.18,Southeast,Urban
P0463,64,Female,High school,Student,112866.97,Southwest,Rural
P0464,67,Non-binary,High school,Part-time,45043.03,West,Urban
P0465,54,Male,Bachelor's,Full-time,79925.78,Midwest,Urban
P0466,23,Female,Bachelor's,Student,71535.48,Midwest,Suburban
P0467,34,Male,Bachelor's,Full-time,70096.38,Northeast,Urban
P0468,64,Male,High school,Full-time,27822.37,Southwest,Urban
P0469,42,Male,Bachelor's,Unemployed,42451.81,Southeast,Suburban
P0470,69,Female,Some college,Full-time,34746.62,Northeast,Urban
P0471,28,Female,High school,Full-time,118782.8,Midwest,Suburban
P0472,57,Female,Bachelor's,Full-time,40271.66,Southeast,Suburban
P0473,45,Male,High school,Full-time,74521.76,West,Urban
P0474,36,Male,High school,Full-time,93617.21,West,Rural
P0475,27,Male,High school,Full-time,75799.98,Southwest,Urban
P0476,19,Male,Bachelor's,Retired,34445.72,Southwest,Rural
P0477,37,Female,Bachelor's,Unemployed,59032.12,Southwest,Urban
P0478,42,Male,Bachelor's,Full-time,93387.6,Southwest,Urban
P0479,71,Male,High school,Student,57384.05,Midwest,Rural
P0480,44,Non-binary,Bachelor's,Part-time,53911.11,Southwest,Rural
P0481,44,Non-binary,Bachelor's,Retired,47525.97,Midwest,Urban
P0482,72,Female,Bachelor's,Unemployed,54885.06,West,Suburban
P0483,57,Male,PhD,Full-time,74630.88,Southeast,Rural
P0484,26,Male,High school,Student,57813.47,Southeast,Rural
P0485,58,Male,Bachelor's,Full-time,56275.69,Northeast,Urban
P0486,43,Female,Master's,Part-time,22485.69,Northeast,Suburban
P0487,57,Female,Master's,Full-time,78773.38,West,Suburban
P0488,24,Female,Bachelor's,Full-time,84977.8,Midwest,Rural
P0489,40,Female,Some college,Student,39604.0,Southeast,Urban
P0490,27,Female,Bachelor's,Full-time,51111.38,Southwest,Rural
P0491,39,Female,High school,Full-time,59525.82,Midwest,Rural
P0492,37,Male,Master's,Unemployed,83092.32,Northeast,Rural
P0493,32,Male,PhD,Full-time,69994.16,Southwest,Suburban
P0494,23,Male,Some college,Student,46509.21,Southwest,Suburban
P0495,41,Female,Bachelor's,Full-time,52199.42,Southeast,Suburban
P0496,51,Female,High school,Full-time,86252.03,Southeast,Rural
P0497,33,Male,High school,Full-time,68628.76,Southwest,Suburban
P0498,58,Female,Bachelor's,Full-time,82019.51,Southwest,Suburban
P0499,29,Non-binary,Bachelor's,Part-time,38584.28,Midwest,Suburban
P0500,62,Male,High school,Full-time,96807.35,West,Suburban
